Planar_x,Planar_y,Alternate_bar_x,Alternate_bar_y,No_transport_x,No_transport_y,Planar_bed_x,Planar_bed_y,armfield_x,armfield_y,Lochsa_f_x,Lochsa_f_y,Rivers_f_x,Rivers_f_y,Steep_alternate_bar_x,Steep_alternate_bar_y,Incipient_motion_x,Incipient_motion_y,xi,strickler,recking,keulegan
,,,,,,10.216269791482048,0.0774070553070278,10.114283931349963,0.076776052239882,8.105367373064468,3.4687867269161026,0.9234666591474356,1.3118648775151922,,,,,0.8022518938517261,0.1866908932558217,2.1798150324194108,0.3237733795027677
,,,,,,9.76144118690938,0.06817328431862661,10.518261830549891,0.07526029813476641,8.293929484212454,3.5515511813018454,0.9444070703863852,0.8175407251849451,,,,,0.8599268408355387,0.18242018104522245,1.813794508646275,0.3023470404685061
,,,,,,13.543986022835943,0.06779352875134925,4.90227498231232,0.1181351082660465,13.43627512946173,0.28716497509800404,0.760575947324174,1.4841224223407177,,,,,0.9217481158431032,0.1782471649914505,1.5185617735854993,0.2829792991232981
,,,,,,13.807124667555092,0.0716025225567928,5.500378060470931,0.11046460935166665,16.296665510098748,0.15491145721330143,1.0593689985547117,0.7533471425173008,,,,,0.9880138038659058,0.17416961021222208,1.2795003158020408,0.2654146452173575
,,,,,,20.18900072835632,0.06092699220018638,6.196456622866981,0.11193705891335475,12.695498167965969,0.39768699991488804,1.3906342860928798,0.47475041761221826,,,,,1.0590434196187017,0.1701853329500774,1.0851397358614852,0.24943601451712544
,,,,,,30.234458223017842,0.05704305455123611,7.539918792433274,0.11680161491173592,8.482035805073751,2.9449727461660307,0.824887978137827,0.732050132378886,,,,,1.1351794481505997,0.16629219940285694,0.9264596872875285,0.2348580502285688
,,,,,,2.3807388702848784,0.15325552358095093,3.935342383648866,0.15327857419825175,6.588638512223797,6.520739234862428,2.14163566635592,0.6098886639483062,,,,,1.216788996212695,0.16248812458093181,0.7963506123921388,0.2215217031653078
,,,,,,2.883241532336452,0.1554234234396724,5.809959253140541,0.1824798545829595,7.726950993777883,5.448001271137808,0.4468568233701038,5.418842911308644,,,,,1.3042655623447086,0.1587710711905757,0.6891955402766197,0.2092898751069094
,,,,,,3.1245804035466698,0.13043041914188863,8.75786214399273,0.08625414100838728,7.155951209475513,6.838615405424702,0.5581240650975444,0.417642327290314,,,,,1.3980309342154884,0.15513904854288088,0.6005454179593243,0.19804388122289313
,,,,,,3.8188528096803473,0.12552221685520004,11.292555929692151,0.0855903873813283,9.22512808074487,1.537970709360823,0.7230589531093132,1.115702431661305,,,,,1.4985372223658169,0.15159011148763346,0.526866757165583,0.18768056018933768
,,,,,,4.574106223786397,0.11075577039457767,10.80193408780145,0.07566917625537208,14.074412558167012,0.2647233249087351,1.4932210469537734,0.48462758779058945,,,,,1.6062690401596829,0.14812235937157703,0.46534523642029,0.17810989993318901
,,,,,,5.007363864783269,0.10421180243316708,14.86709708564198,0.0752603265925456,14.230630463189026,0.2292448297269188,0.9978922242254806,0.5620349830280407,,,,,1.7217458404551165,0.14473393502050738,0.4137326369334487,0.16925307647905224
,,,,,,5.420619156212746,0.10024203357655571,15.148747364885281,0.0793582372217486,17.134397389560924,0.1745159260598296,2.3411564238324347,0.3765816095334435,,,,,1.8455244202613759,0.14142302374465232,0.37022736971458764,0.16104082574985557
,,,,,,6.721694050908229,0.0797671718444821,21.94412958955337,0.06785530695851585,14.696582717345443,0.2324409703848332,1.1347032556650212,0.35964838684108147,,,,,1.9782016054592464,0.138187852366804,0.3333810689321737,0.15341208525166927
,,,,,,9.155137043819721,0.05608272278816833,32.537172804081926,0.06365579814323062,9.646218532447238,0.6518082991640597,4.315738133098107,0.10101280079826594,,,,,2.1204171285294127,0.13502668827268455,0.30202543534176857,0.14631285570183875
,,,,,,1.647930623966514,0.3027417563331547,2.7278079807535875,0.16600957581149003,8.105367373064468,2.6902807936588053,6.079805544773372,0.11050930003635503,,,,,2.2728567131645403,0.1319378384830339,0.27521483093699245,0.1396952428206063
,,,,,,2.179858498933436,0.18778235144867392,3.2880004506445233,0.1682867388475989,3.981329249244623,1.0564473449175646,0.739542439589382,0.5667653909102089,,,,,2.4362553806381695,0.12891964874692588,0.2521811420065931,0.1335166474212164
,,,,,,2.7726557448352716,0.1490535638000767,3.5561612900091633,0.141972403792091,7.726950993777883,6.645944863190617,2.4070419512950445,0.11800170989696125,,,,,2.611400993872838,0.12597050265582427,0.23229821184660307,0.1277390781364667
,,,,,,3.2251615862434995,0.12712696277415145,4.324872641663075,0.13678770829332856,7.537036854689557,4.186763485455198,4.877342404867314,0.06133548029593077,,,,,2.7991380562959396,0.1230888207779066,0.21505374980265565,0.12232856600943663
,,,,,,4.342432102790278,0.10791377431315777,5.157195723305012,0.12115151207129818,9.468084381859981,1.0547805229867189,0.8641787500235885,0.6357353710327788,,,,,3.000371783800332,0.1202730598121902,0.2000270911198438,0.11725466405214585
,,,,,,4.886436180439883,0.1006969670113903,5.633096086843737,0.1142023702124414,8.293929484212454,3.0795911341701085,3.9544955270120705,0.15962394684318046,,,,,3.216072469443579,0.11752171176200868,0.18687154381122503,0.11249001796465478
,,,,,,5.5214321973038105,0.1020810896621754,6.086076850776146,0.10998052168401336,8.293929484212454,1.4682241221202115,5.744358017178495,0.07892234138119149,,,,,3.44728016193117,0.11483330312739587,0.1753003387032714,0.10800999668100325
,,,,,,6.751963251517048,0.10665802256555564,3.5449974158453212,0.12604816521505888,11.592494233898,0.4254038506631278,6.906619560341213,0.07387616196587303,,,,,3.6951096804420676,0.11220639411594453,0.16507541566718892,0.10379237339939933
,,,,,,3.1145222927612917,0.11537381881400109,4.224780591009444,0.12937840258631764,14.230630463189026,0.2292448297269188,1.156814628377701,0.36652423897826397,,,,,3.9607559899766893,0.10963957787171755,0.15599844718907663,0.09981704936390882
,,,,,,3.7282623771970513,0.11851788001300557,4.702574718913341,0.11813533161523884,11.054824012824934,0.45671417519093593,1.8501378491796026,0.15362718085576874,,,,,4.245499963145724,0.10713147972179834,0.14790363095225106,0.0960658139723144
,,,,,,4.161160530661314,0.1079136463963485,5.24580366299539,0.11706673209446153,8.669759398141672,1.5364326173591474,0.8552855795966766,0.6510560261716932,,,,,4.55071455618159,0.10468075644007674,0.1406518845409796,0.09252213585115533
,,,,,,4.654697903956171,0.10690731411094005,6.163344598208466,0.10949950772615846,9.289428930736955,1.2796110150947206,1.140934329790599,0.7490095969308359,,,,,4.877871428951461,0.10228609552787682,0.13412615430870076,0.08917098041223716
,,,,,,5.49118730863006,0.09978968775076238,3.7793045171857296,0.1894395472679502,10.177920839976034,0.8380931891662539,0.6280821115167141,1.560312396255539,,,,,5.228548040891789,0.09994621451104094,0.12822761196215066,0.0859986501228695
,,,,,,1.2770082186466285,0.29003770858331196,4.202530797323884,0.17250715891179927,9.468084381859981,0.7001658860362427,0.7824271754468741,1.3128402087856033,,,,,5.604435257078883,0.09765986025309341,0.12287256041334856,0.08299264431461877
,,,,,,1.788377213789233,0.2038844955605067,4.724769762172212,0.17298595222979882,9.468084381859981,1.7363365585550177,1.1861819624476138,1.141310165687641,,,,,6.007345501110013,0.09542580828411609,0.11798990796948775,0.08014153584612596
,,,,,,2.4008303765890324,0.18321039101050945,2.8175888100738984,0.30477315826940043,8.669759398141672,1.8448776809859202,1.5009438538540287,0.4148839776718166,,,,,6.439221494105799,0.09324286214497671,0.1135190993046055,0.07743486234345516
,,,,,,2.913404305021729,0.13707219395350242,3.1313628557411244,0.29375407958453836,8.105367373064468,1.3064169290048124,1.8050400620417957,0.30035081349759546,,,,,6.902145621971076,0.0911098527465584,0.10940841469500794,0.07486303008161972
,,,,,,3.466610102215688,0.14115231172644388,7.506937108950066,0.08812050169763337,11.592494233898,0.3672381797884999,0.6047814887656053,2.9633489786304996,,,,,7.398349976080481,0.08902563774364745,0.10561356710312053,0.07241722885556229
,,,,,,5.16861618471681,0.16895517774288007,10.147039694342128,0.06261621192241411,15.006910323538303,0.19530172209165061,0.6565944146608167,2.276843385388966,,,,,7.93022711580213,0.08698910092314392,0.10209654094694229,0.07008935642775246
,,,,,,3.3257568321742097,0.175602604166311,12.859627705458378,0.0657047741419631,15.161562168037577,0.21564104172944723,1.3364939002746574,0.7350042260156068,,,,,8.500341604753418,0.08499915160626721,0.0988246276366945,0.06787195134067207
,,,,,,3.7081321576555655,0.15944299277476592,1.905380289994148,0.32128562134474936,13.253557594356227,0.2352525198753342,1.765088369000035,0.9244041477934251,,,,,9.111442376413372,0.08305472406443722,0.09576962185068517,0.06575813305225582
,,,,,,4.181300016269258,0.1598993178934615,2.503079434449614,0.20216999720020215,9.646218532447238,0.49471825296272226,0.7841535940271207,1.4706706898081126,,,,,9.766475988715232,0.08115477694851712,0.09290714956764017,0.06374154849611885
,,,,,,1.2168987173298278,0.3567454706494695,3.164941496632155,0.16159339848432866,7.346780735296198,4.078429585094011,1.0476487321437986,1.169765626601636,,,,,10.468600831529184,0.07929829273111308,0.09021610446904332,0.06181632429046081
