x, y
1.242744189110564079e+01,7.878704320641659320e-02
1.302663953131781938e+01,8.092389900628654820e-02
1.328356181600196351e+01,7.665375539788284176e-02
2.666145187613818912e+00,2.201706370611693220e-01
3.417152630955146098e+00,1.757816319534298566e-01
4.031970286586510355e+00,1.638785671473411976e-01
4.820533292022497918e+00,1.400953258376078370e-01
5.606393980357546880e+00,1.323470724082678462e-01
6.302630813529770393e+00,1.251074627687896734e-01
7.170416412521470662e+00,1.094489231602812918e-01
7.690446249629056652e+00,1.032847344222214553e-01
8.296578254015361864e+00,1.024387823761612887e-01
8.728347207369401062e+00,9.649706618879605458e-02
9.331863497232426141e+00,9.743488199856395471e-02
9.849122546047572868e+00,9.606263669439668584e-02
1.071032860454668523e+01,9.043800666131306121e-02
2.444205430959213388e+00,2.273660413297751981e-01
3.636509927246367013e+00,1.907454335542791424e-01
4.383169896918974295e+00,1.500199354851113331e-01
4.820533292022497918e+00,1.390547313097605653e-01
5.082765441100701054e+00,1.321728849638006131e-01
5.823546169464837163e+00,1.276929404483412023e-01
6.519262500081295819e+00,1.246920013634749969e-01
7.084389521634900433e+00,1.173673281300432331e-01
7.344563595318847504e+00,1.109214643845218423e-01
7.603470235739108851e+00,1.112140184563394779e-01
8.296578254015361864e+00,1.000687619034361514e-01
8.815074305573968871e+00,1.109137892385149982e-01
9.246307684239861047e+00,1.055362013487802647e-01
2.356192643289350297e+00,2.532111967784453910e-01
3.417151629537237945e+00,1.975459249003347906e-01
4.120098469107722927e+00,1.555198841190184311e-01
4.470058946650910414e+00,1.549333455911661439e-01
4.951682770654426413e+00,1.383529349763341632e-01
5.518832970839773644e+00,1.355901160935615579e-01
5.745777625983738091e+00,1.219536845293459210e-01
5.998436285600373452e+00,1.211806967934501156e-01
6.563426862929588879e+00,1.165407115622383444e-01
7.084382700085034124e+00,1.122719779580165778e-01
7.603462914367071335e+00,1.097877302140393002e-01
8.037071837941457630e+00,1.048243384174283727e-01
8.469117519848351705e+00,1.092931355792572945e-01
2.444202361147874925e+00,2.366964629398899955e-01
3.152654621391699052e+00,1.853235448363725613e-01
3.856673614098056202e+00,1.749331698066923513e-01
4.557997732102102795e+00,1.424162515031754395e-01
4.993634168312749644e+00,1.424162515031754395e-01
5.222426993167117004e+00,1.378344245089649922e-01
5.431242974617489949e+00,1.330445612481580830e-01
5.692837849166789255e+00,1.240980215303802009e-01
6.128993992460483042e+00,1.138704328855902476e-01
6.824005074606138699e+00,1.206590919856069949e-01
